ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
49;27.2.1999;9;1;5;8;9;10;14;16;17;21;24;27;31;46;49;50;53;63;68;75;76
50;1.3.1999;10;3;4;6;7;11;13;15;21;25;38;42;43;53;62;64;72;73;74;76;79
51;2.3.1999;10;2;5;9;10;11;13;15;19;34;38;42;44;45;53;58;64;65;67;69;79
52;3.3.1999;10;1;3;5;9;14;19;21;24;25;26;28;38;39;40;54;56;58;61;64;66
53;4.3.1999;10;5;12;13;14;18;27;29;34;36;38;39;47;48;50;53;55;57;60;68;71
54;5.3.1999;10;3;7;9;13;17;21;23;24;33;34;36;39;41;46;47;52;56;57;64;78
55;6.3.1999;10;4;7;12;16;17;19;21;26;27;29;35;39;57;58;59;67;70;74;75;77
56;8.3.1999;11;7;10;11;14;21;24;30;35;37;38;39;41;43;48;58;62;63;67;76;80
57;9.3.1999;11;2;4;12;13;17;18;19;20;22;29;33;35;36;59;62;65;67;69;71;78
58;10.3.1999;11;4;5;10;16;27;36;40;41;42;52;53;57;59;62;69;70;71;75;79;80
59;11.3.1999;11;3;9;11;12;15;17;18;22;26;29;30;33;42;44;53;54;67;70;71;76
60;12.3.1999;11;10;11;25;29;32;33;35;36;38;46;47;49;50;52;63;66;67;75;76;77
61;13.3.1999;11;6;7;8;15;16;17;18;19;25;26;29;31;32;41;44;46;62;63;79;80
62;15.3.1999;12;4;9;13;14;19;22;23;29;41;49;56;58;61;63;64;67;73;74;75;77
63;16.3.1999;12;1;6;8;9;14;26;27;32;35;42;44;46;54;58;60;62;64;70;74;80
64;17.3.1999;12;17;21;22;25;28;32;36;40;42;47;50;52;53;58;59;65;66;70;75;77
65;18.3.1999;12;6;10;14;16;20;24;26;27;28;29;32;43;46;49;50;55;56;66;67;77
66;19.3.1999;12;5;8;18;27;35;36;37;40;49;51;52;55;58;60;65;67;70;74;77;79
67;20.3.1999;12;2;9;10;14;19;20;22;26;31;34;54;56;63;65;67;72;73;74;79;80
68;22.3.1999;13;1;5;6;7;9;22;29;30;33;36;37;43;48;59;64;66;69;72;76;78
69;23.3.1999;13;4;6;9;19;23;25;29;30;33;34;37;39;41;43;54;56;59;63;64;70
70;24.3.1999;13;3;5;12;19;21;27;31;40;41;46;52;56;57;58;64;69;72;74;79;80
71;25.3.1999;13;3;4;5;7;9;10;11;24;32;35;40;42;46;47;51;63;65;68;70;74
72;26.3.1999;13;3;7;16;18;23;28;29;42;43;44;48;50;52;53;55;56;64;69;72;80
73;27.3.1999;13;2;3;7;8;10;13;16;17;31;32;36;42;43;56;57;64;66;71;73;78
74;29.3.1999;14;10;12;13;17;23;26;33;35;42;44;48;50;52;64;67;69;70;74;78;80
75;30.3.1999;14;3;5;7;9;11;12;17;22;23;24;32;49;51;53;54;57;59;64;68;70
76;31.3.1999;14;9;15;17;19;31;33;40;44;47;50;51;52;54;59;61;62;74;75;76;77
77;1.4.1999;14;6;12;14;15;20;21;24;26;29;36;41;42;47;57;68;72;73;74;76;77
78;3.4.1999;14;2;14;17;21;23;24;26;37;43;46;47;50;51;61;63;65;66;70;73;77
79;5.4.1999;15;5;8;31;33;34;37;39;43;44;46;50;52;55;56;59;61;65;76;77;79
80;6.4.1999;15;1;5;13;16;20;28;29;31;39;47;50;52;59;60;62;64;66;71;72;74
81;7.4.1999;15;1;5;10;11;27;28;37;41;48;51;54;55;56;58;62;65;67;71;74;80
82;8.4.1999;15;1;5;11;13;17;18;21;25;26;35;39;41;46;55;57;59;64;66;77;78
83;9.4.1999;15;5;12;13;14;17;20;23;31;34;41;42;45;48;55;60;62;68;69;74;79
84;10.4.1999;15;3;8;10;12;13;16;22;26;31;41;43;44;46;47;53;54;71;73;74;77
85;12.4.1999;16;6;8;11;13;22;25;26;29;33;39;41;42;43;52;60;64;67;70;74;80
86;13.4.1999;16;1;3;11;17;25;26;27;31;33;37;43;52;56;61;63;66;67;74;75;78
87;14.4.1999;16;2;4;6;15;21;24;31;32;33;34;40;46;49;52;53;56;61;63;64;77
88;15.4.1999;16;1;2;3;12;18;21;23;29;33;37;38;45;47;52;55;56;61;63;65;73
89;16.4.1999;16;2;3;9;10;18;20;21;25;34;36;41;44;54;55;58;60;62;69;70;72
90;17.4.1999;16;4;5;6;8;14;17;20;24;29;33;37;43;45;60;61;65;69;71;74;78
91;19.4.1999;17;3;8;14;15;25;26;29;30;39;43;44;48;50;51;52;55;66;68;71;72
92;20.4.1999;17;4;5;10;13;18;22;23;25;30;42;43;47;48;51;55;56;61;65;74;78
93;21.4.1999;17;4;5;10;12;14;15;24;28;39;43;44;45;50;52;58;62;63;66;78;79
94;22.4.1999;17;7;10;15;18;19;27;34;36;37;38;39;50;57;62;63;65;70;74;76;78
95;23.4.1999;17;4;8;10;13;16;20;27;33;37;39;43;44;49;58;63;65;66;72;73;80
96;24.4.1999;17;2;5;11;14;15;20;22;26;28;32;34;39;50;54;56;69;70;74;75;76
97;26.4.1999;18;7;9;10;16;18;25;28;30;31;33;40;46;47;51;60;61;65;66;68;79
98;27.4.1999;18;1;8;9;10;12;24;27;38;40;41;43;51;52;60;63;67;69;72;74;78
99;28.4.1999;18;4;6;7;15;18;26;27;34;36;39;43;45;54;55;58;65;71;72;78;79
100;29.4.1999;18;3;8;13;19;26;29;30;36;44;47;50;58;62;68;73;74;75;76;77;79
101;30.4.1999;18;5;6;7;10;11;14;26;30;35;41;45;46;50;51;53;57;59;62;67;68
102;1.5.1999;18;3;5;6;19;21;27;28;32;33;34;36;38;43;48;50;51;53;67;68;76
103;2.5.1999;18;4;6;11;14;16;18;26;34;38;39;41;51;59;62;64;70;71;73;78;80
104;3.5.1999;19;6;15;16;20;26;33;37;38;41;44;47;52;54;59;60;66;70;73;74;80
105;4.5.1999;19;1;18;22;39;40;41;47;54;55;56;58;59;60;64;70;75;76;77;78;79
106;5.5.1999;19;1;3;10;22;25;41;44;46;48;55;56;57;58;59;63;69;70;74;78;79
107;6.5.1999;19;2;3;4;7;12;13;37;43;44;49;52;60;64;65;67;70;71;74;76;80
108;7.5.1999;19;2;3;6;7;13;14;16;26;33;37;43;45;47;53;57;59;67;68;72;78
109;8.5.1999;19;9;11;13;19;20;21;26;34;36;39;41;44;47;49;55;56;57;62;65;79
110;9.5.1999;19;4;7;10;12;16;20;21;30;42;53;54;60;61;62;63;70;72;76;77;80
111;10.5.1999;20;5;13;18;22;28;34;35;39;43;46;53;57;58;65;67;68;71;73;76;78
112;11.5.1999;20;2;6;7;15;21;24;25;26;30;38;39;43;44;46;49;60;65;67;77;78
113;12.5.1999;20;3;9;10;16;25;26;28;31;39;42;46;48;49;53;57;58;67;70;72;76
114;13.5.1999;20;9;13;16;22;26;31;36;40;48;49;50;52;54;55;60;63;67;69;73;77
115;14.5.1999;20;2;9;11;15;22;26;27;34;39;45;46;48;52;55;57;62;69;72;77;79
116;15.5.1999;20;1;4;6;7;8;16;18;21;23;26;27;31;40;45;50;59;61;62;75;80
117;16.5.1999;20;3;5;11;14;17;29;30;34;41;42;43;46;51;55;58;63;66;74;77;78
118;17.5.1999;21;2;7;10;17;26;27;28;34;35;40;43;46;48;52;53;59;68;70;76;79
119;18.5.1999;21;3;4;8;10;17;20;23;25;30;32;38;44;48;51;55;57;59;61;66;73
120;19.5.1999;21;1;2;3;8;14;18;19;26;27;28;40;46;50;54;60;61;62;63;67;77
121;20.5.1999;21;4;10;13;15;17;26;28;32;48;50;51;52;56;65;68;69;74;75;78;80
122;21.5.1999;21;1;3;6;18;24;25;30;35;42;45;47;53;57;58;60;64;67;72;75;80
123;22.5.1999;21;2;14;17;19;20;28;31;34;38;39;40;43;44;56;58;60;69;71;73;79
124;23.5.1999;21;2;4;5;6;8;12;17;19;34;36;38;48;49;51;55;63;68;75;76;79
125;24.5.1999;22;1;5;7;9;13;14;16;19;22;23;43;44;45;49;62;69;71;72;75;76
126;25.5.1999;22;5;11;15;17;21;23;26;27;32;33;35;42;49;50;62;63;64;74;79;80
127;26.5.1999;22;5;7;9;10;11;12;13;14;20;23;24;29;31;35;38;53;57;64;71;78
128;27.5.1999;22;2;6;11;13;24;26;31;34;37;39;41;45;56;57;61;62;68;71;75;79
129;28.5.1999;22;6;12;14;15;19;28;33;35;38;39;50;51;57;58;64;68;69;74;78;80
130;29.5.1999;22;7;9;11;18;27;29;42;43;44;48;55;58;60;62;65;67;71;76;77;79
131;30.5.1999;22;1;4;16;18;20;22;23;31;34;37;39;40;43;45;46;50;55;61;68;72
132;31.5.1999;23;2;8;12;14;26;27;29;31;35;41;45;47;49;50;52;55;61;64;71;74
133;1.6.1999;23;2;3;5;11;16;17;24;27;30;35;38;39;44;45;46;49;68;72;78;79
134;2.6.1999;23;4;5;15;17;18;21;23;26;28;32;41;52;55;57;58;70;71;74;77;80
135;3.6.1999;23;1;3;4;10;22;23;33;38;44;45;46;50;52;55;61;64;71;72;73;76
136;4.6.1999;23;6;10;15;16;19;22;24;34;35;42;45;47;49;50;54;56;57;59;65;71
137;5.6.1999;23;1;6;8;12;14;15;19;24;27;29;31;35;40;45;50;52;54;64;72;73
138;6.6.1999;23;1;2;3;7;16;24;29;38;41;42;46;47;50;51;54;55;61;64;69;77
139;7.6.1999;24;2;3;7;10;30;31;34;37;52;53;56;62;63;64;72;73;75;78;79;80
140;8.6.1999;24;1;2;12;15;18;22;25;28;35;36;37;45;49;50;59;60;61;62;69;75
141;9.6.1999;24;1;8;9;13;15;18;28;40;41;42;52;54;57;59;61;64;67;69;74;80
142;10.6.1999;24;2;3;12;13;20;27;31;32;34;47;51;55;58;59;60;62;69;73;76;77
143;11.6.1999;24;7;19;26;32;34;38;42;43;47;52;56;57;59;65;67;68;69;70;71;74
144;12.6.1999;24;1;17;18;19;20;21;22;24;31;32;33;34;36;38;43;44;47;50;58;68
145;13.6.1999;24;3;4;9;16;19;21;22;28;34;36;42;56;57;59;63;68;72;73;76;80
146;14.6.1999;25;2;4;7;20;31;33;35;41;43;44;45;48;52;62;64;66;71;73;78;79
147;15.6.1999;25;4;6;8;15;23;25;27;30;40;46;49;50;51;53;55;58;59;62;65;70
148;16.6.1999;25;1;2;6;9;10;12;15;16;29;30;39;47;50;59;63;65;67;68;77;79
149;17.6.1999;25;6;7;11;16;24;26;33;34;35;38;46;48;53;58;61;64;69;71;72;76
150;18.6.1999;25;2;11;12;13;15;18;22;26;27;28;30;32;44;54;58;64;66;71;72;79
151;19.6.1999;25;1;2;4;9;12;21;28;30;32;34;36;37;38;39;51;55;56;57;65;79
152;20.6.1999;25;1;4;6;7;9;11;12;13;14;18;22;35;38;40;42;62;69;70;71;77
153;21.6.1999;26;6;9;11;19;21;22;25;31;33;36;37;39;41;42;43;49;50;54;68;70
154;22.6.1999;26;1;4;8;10;13;20;24;39;42;43;44;45;48;50;51;64;66;70;73;74
155;23.6.1999;26;4;13;16;17;22;28;33;43;44;56;57;58;61;64;66;70;74;77;79;80
156;24.6.1999;26;7;17;19;20;26;27;30;31;32;36;37;42;43;46;49;52;63;65;73;74
157;25.6.1999;26;2;4;6;7;9;15;21;24;26;29;30;39;40;43;47;49;56;64;69;76
158;26.6.1999;26;5;8;9;17;23;26;34;35;43;47;49;54;55;58;59;63;67;69;73;74
159;27.6.1999;26;1;4;16;18;19;22;23;30;31;38;42;43;46;50;51;54;59;70;71;78
160;28.6.1999;27;3;5;9;10;13;24;27;29;34;35;37;41;45;61;66;67;68;69;70;73
161;29.6.1999;27;5;16;21;27;28;31;32;33;34;40;41;47;55;60;61;65;71;77;78;79
162;30.6.1999;27;3;7;9;12;13;15;16;18;20;25;27;34;42;46;48;66;73;74;76;78
163;1.7.1999;27;1;25;26;32;35;37;40;42;47;50;53;60;61;63;68;70;74;75;78;79
164;2.7.1999;27;2;9;16;19;22;24;27;33;34;42;44;45;50;53;55;56;65;66;69;78
165;3.7.1999;27;2;11;18;21;22;29;33;40;42;49;54;61;62;63;68;69;70;72;75;76
166;4.7.1999;27;5;9;19;24;25;26;32;33;36;38;39;40;41;51;52;56;61;63;69;78
167;5.7.1999;28;1;6;10;27;28;32;34;36;38;39;42;53;60;63;65;66;69;71;76;77
168;6.7.1999;28;10;11;14;16;21;24;26;29;30;35;40;52;57;62;64;67;72;73;78;79
169;7.7.1999;28;7;15;18;21;29;31;32;35;36;37;40;42;44;48;49;51;54;61;66;78
170;8.7.1999;28;1;4;6;29;32;38;42;44;45;47;51;56;57;58;60;61;65;66;68;76
171;9.7.1999;28;6;7;15;18;30;31;36;40;43;44;46;48;49;50;56;59;62;68;73;78
172;10.7.1999;28;3;4;20;21;23;25;26;33;34;42;43;44;45;47;71;72;75;78;79;80
173;11.7.1999;28;2;4;9;12;34;39;43;44;45;49;51;60;61;62;63;66;68;72;75;78
174;12.7.1999;29;2;7;11;14;15;17;21;22;28;35;38;40;42;52;55;57;65;66;69;76
175;13.7.1999;29;1;2;10;14;16;29;31;39;40;41;43;45;46;49;58;62;70;72;79;80
176;14.7.1999;29;2;5;9;12;19;25;27;31;32;34;36;37;41;48;57;59;60;62;66;69
177;15.7.1999;29;3;7;8;14;19;21;28;33;40;44;50;53;61;64;66;67;69;72;75;78
178;16.7.1999;29;7;10;11;19;20;25;26;34;35;45;52;55;56;59;61;63;69;70;73;74
179;17.7.1999;29;6;11;18;22;23;31;34;40;46;48;51;57;60;62;64;66;67;70;74;80
180;18.7.1999;29;2;4;7;22;29;31;34;40;41;42;43;46;55;59;68;70;73;75;77;80
181;19.7.1999;30;2;7;12;15;22;25;26;28;29;32;33;39;48;49;51;55;58;63;65;69
182;20.7.1999;30;5;13;21;25;27;28;29;30;32;38;41;57;60;62;63;64;69;71;76;79
183;21.7.1999;30;4;6;13;17;30;31;38;39;44;45;46;49;54;59;62;65;67;71;75;77
184;22.7.1999;30;1;3;6;10;12;14;18;20;22;25;36;48;49;52;54;64;69;74;75;78
185;23.7.1999;30;5;7;8;9;18;20;22;28;29;30;37;38;41;44;47;66;69;71;79;80
186;24.7.1999;30;1;4;14;20;24;25;32;34;35;40;43;46;47;48;50;59;61;66;67;75
187;25.7.1999;30;9;11;15;16;17;19;21;23;27;28;35;42;51;55;57;60;69;74;76;79
188;26.7.1999;31;7;18;22;25;29;32;33;38;43;48;54;55;59;64;65;66;67;72;73;74
189;27.7.1999;31;3;4;5;7;9;15;17;24;26;28;30;36;38;44;45;46;62;66;70;76
190;28.7.1999;31;5;11;17;18;24;26;27;28;38;39;41;43;47;48;54;55;58;59;65;80
191;29.7.1999;31;4;15;17;19;29;30;34;40;41;42;43;44;47;50;54;57;59;68;69;72
192;30.7.1999;31;3;9;10;11;15;19;20;23;27;37;42;44;49;57;64;69;70;71;73;76
193;31.7.1999;31;2;5;11;14;16;17;20;21;29;31;41;46;51;63;67;68;69;72;75;76
194;1.8.1999;31;5;10;13;24;31;32;33;38;42;47;48;50;53;54;58;67;70;75;76;79
195;2.8.1999;32;11;12;16;18;21;30;31;33;34;35;36;37;44;51;54;58;59;69;76;79
196;3.8.1999;32;2;6;7;12;19;25;28;38;41;43;44;47;48;58;65;67;73;76;77;79
197;4.8.1999;32;1;2;12;13;14;16;28;34;43;47;52;55;58;61;62;73;75;76;77;79
198;5.8.1999;32;2;4;18;22;27;29;31;37;38;43;47;50;52;54;55;61;68;70;74;76
199;6.8.1999;32;10;12;13;14;17;20;23;25;33;35;39;43;45;47;52;56;58;62;66;76
200;7.8.1999;32;4;8;10;13;16;18;21;26;30;31;44;46;60;61;63;64;67;69;71;77
201;8.8.1999;32;2;4;7;9;12;13;16;18;26;29;30;37;43;44;45;60;62;63;78;79
202;9.8.1999;33;2;4;6;9;12;16;18;23;33;39;49;52;53;57;61;67;68;69;73;79
203;10.8.1999;33;4;7;13;17;22;24;26;28;35;39;44;49;54;60;61;66;70;72;76;79
204;11.8.1999;33;4;5;9;13;20;30;32;33;34;38;44;46;47;58;63;64;68;70;73;77
205;12.8.1999;33;1;4;13;14;21;24;25;27;29;36;38;39;42;59;63;67;74;78;79;80
206;13.8.1999;33;6;9;10;12;17;27;30;31;33;35;38;42;54;55;60;66;69;70;74;80
207;14.8.1999;33;10;14;15;18;19;20;23;32;38;39;41;44;50;54;60;61;62;69;71;75
208;15.8.1999;33;11;12;14;21;22;25;28;33;34;36;38;46;55;56;65;67;68;69;71;77
209;16.8.1999;34;5;7;14;16;17;23;29;31;33;37;40;48;53;54;57;59;67;68;70;71
210;17.8.1999;34;3;13;17;18;21;24;33;35;41;45;49;57;62;64;66;67;69;71;74;79
211;18.8.1999;34;2;3;5;6;12;13;14;16;17;20;25;39;40;42;53;56;61;65;70;80
212;19.8.1999;34;5;9;10;13;15;21;22;23;27;32;39;40;48;49;59;63;67;71;77;80
213;20.8.1999;34;10;16;17;26;27;32;35;42;45;48;49;52;56;59;62;65;72;73;74;79
214;21.8.1999;34;6;7;11;12;14;17;24;30;32;34;38;47;57;65;66;68;70;73;76;79
215;22.8.1999;34;7;8;9;17;22;24;29;36;37;44;50;54;56;61;63;68;70;74;75;77
216;23.8.1999;35;1;5;9;10;12;24;27;29;34;40;41;42;52;55;56;61;64;66;69;74
217;24.8.1999;35;2;4;7;10;14;15;18;19;28;30;36;40;54;56;58;61;72;77;78;80
218;25.8.1999;35;8;15;16;17;24;28;29;30;35;40;41;44;45;58;63;64;68;73;76;79
219;26.8.1999;35;5;6;9;10;13;15;16;33;34;35;39;40;45;47;48;54;64;65;71;73
220;27.8.1999;35;2;15;17;21;22;25;26;27;30;44;53;57;60;61;63;65;71;73;76;77
221;28.8.1999;35;3;5;7;9;12;21;22;25;26;27;34;41;44;45;47;48;49;50;57;79
222;29.8.1999;35;17;19;23;24;25;26;34;36;42;44;46;50;65;67;70;71;73;76;77;78
223;30.8.1999;36;2;7;9;10;11;13;28;34;39;40;47;53;54;55;56;62;63;69;71;72
224;31.8.1999;36;4;5;12;15;18;23;24;26;34;41;45;46;47;49;53;57;68;74;76;80
225;1.9.1999;36;2;3;10;14;15;17;21;27;34;36;41;44;48;51;54;56;59;61;73;76
226;2.9.1999;36;1;4;6;11;18;19;23;27;28;30;35;36;40;50;61;63;64;65;70;76
227;3.9.1999;36;3;11;14;25;27;32;37;38;39;40;44;47;50;54;55;61;66;75;76;78
228;4.9.1999;36;2;3;4;5;9;15;17;18;23;29;38;40;43;61;63;67;68;75;77;79
229;5.9.1999;36;2;3;6;10;12;19;20;24;28;31;33;38;40;54;60;65;71;73;74;76
230;6.9.1999;37;3;12;17;20;21;26;31;33;39;41;42;47;50;54;56;57;64;66;69;76
231;7.9.1999;37;5;8;9;14;16;17;20;21;27;30;37;39;40;42;50;53;54;59;70;79
232;8.9.1999;37;4;5;6;14;25;27;28;31;39;43;45;46;52;56;66;70;75;77;78;79
233;9.9.1999;37;4;5;11;16;17;28;30;37;40;41;43;49;53;61;69;70;71;72;74;80
234;10.9.1999;37;4;12;13;15;27;30;31;32;33;37;45;48;50;51;53;60;63;70;71;78
235;11.9.1999;37;6;12;13;16;18;26;28;30;34;37;41;45;49;50;52;53;54;59;76;78
236;12.9.1999;37;4;7;9;18;23;25;26;36;40;46;48;49;53;55;60;62;65;68;70;77
237;13.9.1999;38;1;2;3;5;6;8;9;15;18;33;38;46;48;50;57;61;69;72;74;77
238;14.9.1999;38;1;14;19;21;23;30;32;34;37;41;47;51;58;67;69;70;75;78;79;80
239;15.9.1999;38;6;9;10;14;22;25;43;44;53;56;57;62;64;65;69;70;71;74;75;80
240;16.9.1999;38;1;2;4;5;8;17;21;25;30;31;35;38;49;50;52;53;54;68;69;70
241;17.9.1999;38;13;15;19;20;21;23;24;38;39;41;44;46;49;51;63;67;70;71;76;80
242;18.9.1999;38;1;9;10;11;16;26;30;34;36;41;45;48;50;51;57;62;65;66;67;77
243;19.9.1999;38;5;7;8;15;17;18;21;26;28;30;34;40;51;52;54;61;62;63;76;77
244;20.9.1999;39;11;13;14;16;18;20;22;24;28;29;31;33;50;54;56;61;69;70;73;79
245;21.9.1999;39;4;8;14;19;23;26;34;35;36;41;42;54;60;62;64;67;68;74;77;80
246;22.9.1999;39;1;5;6;11;13;15;21;22;27;36;38;40;41;44;50;52;62;63;68;79
247;23.9.1999;39;1;4;15;20;28;30;34;37;41;45;46;47;53;58;61;62;65;66;70;78
248;24.9.1999;39;3;5;9;10;16;19;21;25;30;32;33;36;40;44;49;53;56;59;61;73
249;25.9.1999;39;3;9;13;16;18;21;28;35;38;40;45;49;50;53;56;62;66;67;74;78
250;26.9.1999;39;2;10;12;13;15;18;20;26;33;35;45;48;53;58;65;70;72;73;74;78
251;27.9.1999;40;1;12;16;19;22;26;37;39;46;48;50;52;53;59;61;65;67;75;76;78
252;28.9.1999;40;6;7;9;14;17;20;25;28;29;39;43;46;49;54;55;60;69;75;76;78
253;29.9.1999;40;3;14;16;18;20;30;31;33;35;36;42;43;44;47;50;52;63;73;76;80
254;30.9.1999;40;2;5;9;10;19;20;23;28;37;39;46;49;53;56;60;61;68;72;75;80
255;1.10.1999;40;1;7;15;19;21;23;24;25;27;29;44;46;49;50;51;52;54;68;69;80
256;2.10.1999;40;6;8;11;12;13;28;29;43;46;47;50;51;53;57;59;66;67;71;74;78
257;3.10.1999;40;1;4;8;9;10;12;16;22;53;55;56;57;58;61;65;68;69;71;75;80
258;4.10.1999;41;11;13;14;19;25;28;36;39;45;49;52;53;57;58;60;62;64;71;76;79
259;5.10.1999;41;2;5;9;10;12;24;26;34;35;39;43;44;48;53;57;58;60;63;69;78
260;6.10.1999;41;1;3;6;8;16;19;20;22;27;29;38;51;52;56;58;62;66;67;73;74
261;7.10.1999;41;1;7;19;21;27;33;35;36;48;51;52;56;57;66;69;71;72;73;77;78
262;8.10.1999;41;9;13;19;22;25;35;37;43;44;50;53;56;57;58;60;62;64;70;73;78
263;9.10.1999;41;3;6;17;19;25;27;39;43;47;52;54;55;60;61;65;66;68;71;72;77
264;10.10.1999;41;2;8;10;12;16;18;20;25;30;32;37;48;50;51;54;55;62;64;69;80
265;11.10.1999;42;1;7;9;19;22;25;26;30;35;36;43;47;50;53;54;57;61;62;74;79
266;12.10.1999;42;2;3;7;11;15;17;18;25;35;37;45;47;53;54;57;58;60;63;67;70
267;13.10.1999;42;1;3;4;9;16;24;25;31;33;39;44;47;50;58;59;60;65;72;78;80
268;14.10.1999;42;3;9;11;20;31;37;38;41;45;46;48;50;54;58;62;67;69;70;74;80
269;15.10.1999;42;3;7;9;11;13;15;20;21;23;25;38;40;53;47;59;62;63;73;75;79
270;16.10.1999;42;10;16;23;31;33;37;39;40;42;47;53;55;56;57;60;70;72;73;75;79
